City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,2019-11-11 00:21:23,22.08,-159.32,80.6,94,90,10.29,moderate rain
1,Saint-Philippe,CA,2019-11-11 00:19:39,45.36,-73.48,43.0,78,90,11.41,light rain
2,Havre-Saint-Pierre,CA,2019-11-11 00:24:19,50.23,-63.6,32.0,82,90,13.87,light snow
3,Kudahuvadhoo,MV,2019-11-11 00:16:10,2.67,72.89,82.17,73,98,5.55,overcast clouds
4,Ushuaia,AR,2019-11-11 00:23:31,-54.81,-68.31,57.2,47,6,13.87,clear sky
5,Araouane,ML,2019-11-11 00:12:43,18.9,-3.53,76.3,13,100,11.99,overcast clouds
6,Katobu,ID,2019-11-11 00:19:41,-4.94,122.53,85.78,58,49,5.35,scattered clouds
7,East%20London,ZA,2019-11-11 00:21:17,-33.02,27.91,68.2,81,100,21.41,light rain
8,Puerto%20Ayora,EC,2019-11-11 00:19:25,-0.74,-90.35,75.2,69,75,13.87,broken clouds
9,Una,IN,2019-11-11 00:24:20,31.47,76.27,56.8,60,85,2.93,overcast clouds
10,Mataura,NZ,2019-11-11 00:23:24,-46.19,168.86,54.0,59,100,10.0,light rain
11,Pasni,PK,2019-11-11 00:24:21,25.26,63.48,72.25,22,100,21.68,overcast clouds
12,Pisco,PE,2019-11-11 00:23:26,-13.71,-76.2,64.4,88,90,3.36,overcast clouds
13,Tuktoyaktuk,CA,2019-11-11 00:19:49,69.44,-133.03,14.0,66,5,16.11,clear sky
14,Hobart,AU,2019-11-11 00:20:05,-42.88,147.33,68.0,42,100,9.17,overcast clouds
15,Norman%20Wells,CA,2019-11-11 00:19:37,65.28,-126.83,6.8,77,5,3.62,clear sky
16,Nelson%20Bay,AU,2019-11-11 00:24:22,-32.72,152.14,77.0,35,56,8.05,broken clouds
17,Nikolskoye,RU,2019-11-11 00:23:45,59.7,30.79,44.6,87,75,4.47,broken clouds
18,Itoman,JP,2019-11-11 00:20:43,26.12,127.67,75.2,57,40,14.99,scattered clouds
19,Umm%20Lajj,SA,2019-11-11 00:24:22,25.02,37.27,78.64,55,86,1.61,overcast clouds
20,Ridgecrest,US,2019-11-11 00:24:22,35.62,-117.67,78.8,6,1,6.93,clear sky
21,Karratha,AU,2019-11-11 00:19:38,-20.74,116.85,80.87,53,0,9.57,clear sky
22,Saint%20George,GR,2019-11-11 00:22:42,39.45,22.34,48.2,87,0,4.29,clear sky
23,Okhotsk,RU,2019-11-11 00:24:23,59.36,143.24,11.62,82,96,7.9,overcast clouds
24,Hermanus,ZA,2019-11-11 00:23:38,-34.42,19.24,66.0,88,63,8.99,broken clouds
25,Cabo%20San%20Lucas,MX,2019-11-11 00:24:03,22.89,-109.91,82.99,51,75,3.36,broken clouds
26,Hilo,US,2019-11-11 00:19:27,19.71,-155.08,87.8,55,20,10.29,few clouds
27,Magadan,RU,2019-11-11 00:18:03,59.56,150.8,21.49,68,69,13.27,broken clouds
28,Barrow,AR,2019-11-11 00:19:49,-38.31,-60.23,54.5,83,69,14.34,broken clouds
29,Khatanga,RU,2019-11-11 00:15:23,71.98,102.47,-2.3,97,100,8.99,light snow
30,Rikitea,PF,2019-11-11 00:23:24,-23.12,-134.97,74.41,81,99,11.34,overcast clouds
31,Bethel,US,2019-11-11 00:23:31,60.79,-161.76,44.6,86,1,6.93,clear sky
32,Port%20Alfred,ZA,2019-11-11 00:23:56,-33.59,26.89,63.0,96,100,5.01,light rain
33,Ende,ID,2019-11-11 00:24:25,-8.84,121.65,81.18,77,31,5.5,scattered clouds
34,Tiarei,PF,2019-11-11 00:24:25,-17.53,-149.33,80.6,74,75,8.05,shower rain
35,Paamiut,GL,2019-11-11 00:23:57,61.99,-49.67,37.62,85,100,4.18,overcast clouds
36,Fallon,US,2019-11-11 00:24:25,46.84,-105.12,7.0,84,1,10.29,clear sky
37,Jamestown,AU,2019-11-11 00:23:50,-33.21,138.6,78.49,13,0,18.3,clear sky
38,Pouebo,NC,2019-11-11 00:24:26,-20.4,164.57,85.75,31,75,2.68,broken clouds
39,Ponta%20Do%20Sol,BR,2019-11-11 00:23:49,-20.63,-46.0,70.9,83,94,4.76,overcast clouds
40,Timiryazevskiy,RU,2019-11-11 00:24:26,47.05,39.61,46.4,93,75,11.18,broken clouds
41,Ponta%20Delgada,PT,2019-11-11 00:19:33,37.73,-25.67,62.6,82,20,6.93,few clouds
42,Faya,SA,2019-11-11 00:19:29,18.39,42.45,59.0,50,0,3.06,clear sky
43,Vikramasingapuram,IN,2019-11-11 00:24:27,8.71,77.39,77.0,94,40,1.92,scattered clouds
44,Busselton,AU,2019-11-11 00:19:23,-33.64,115.35,64.0,45,0,11.34,clear sky
45,Buribay,RU,2019-11-11 00:24:27,51.96,58.16,27.45,80,61,2.46,broken clouds
46,La%20Ronge,CA,2019-11-11 00:21:29,55.1,-105.3,5.0,60,75,10.29,broken clouds
47,Juazeiro,BR,2019-11-11 00:24:27,-9.43,-40.51,86.0,33,63,4.7,broken clouds
48,Cherskiy,RU,2019-11-11 00:19:56,68.75,161.3,12.04,54,75,0.49,broken clouds
49,Yulara,AU,2019-11-11 00:21:08,-25.24,130.99,84.2,7,42,8.05,scattered clouds
50,Road%20Town,VG,2019-11-11 00:19:44,18.42,-64.62,82.99,78,40,9.17,scattered clouds
51,Punta%20Arenas,CL,2019-11-11 00:19:24,-53.16,-70.91,53.6,66,75,16.11,broken clouds
52,Talnakh,RU,2019-11-11 00:19:35,69.49,88.39,-11.21,83,75,8.95,light shower snow
53,Mauriti,BR,2019-11-11 00:24:28,-7.39,-38.77,91.4,24,40,3.36,scattered clouds
54,Bredasdorp,ZA,2019-11-11 00:20:02,-34.53,20.04,66.0,82,100,17.22,overcast clouds
55,Cape%20Town,ZA,2019-11-11 00:19:28,-33.93,18.42,66.99,77,21,8.05,few clouds
56,Sao%20Joao%20Da%20Barra,BR,2019-11-11 00:24:29,-21.64,-41.05,75.42,90,100,4.36,light rain
57,Arona,IT,2019-11-11 00:24:29,45.76,8.56,46.0,100,51,5.82,broken clouds
58,Thompson,CA,2019-11-11 00:20:43,55.74,-97.86,-5.81,70,75,3.58,broken clouds
59,Tiksi,RU,2019-11-11 00:21:06,71.64,128.87,-10.74,96,95,0.89,overcast clouds
60,Bluff,AU,2019-11-11 00:19:37,-23.58,149.07,84.58,14,48,9.82,scattered clouds
61,Cockburn%20Town,TC,2019-11-11 00:24:30,21.46,-71.14,82.74,75,95,13.15,light rain
62,Kuzhithurai,IN,2019-11-11 00:24:30,8.32,77.18,77.0,94,40,2.33,scattered clouds
63,Nome,US,2019-11-11 00:24:06,30.04,-94.42,66.99,77,1,3.36,clear sky
64,Qasigiannguit,GL,2019-11-11 00:20:54,68.82,-51.19,42.8,28,100,25.28,overcast clouds
65,Morondava,MG,2019-11-11 00:24:31,-20.3,44.28,73.62,73,0,4.47,clear sky
66,Calatayud,ES,2019-11-11 00:24:31,41.35,-1.64,50.0,43,13,24.16,few clouds
67,Lethem,GY,2019-11-11 00:24:31,3.38,-59.8,86.59,52,100,8.93,overcast clouds
68,Namatanai,PG,2019-11-11 00:23:47,-3.66,152.44,83.48,68,90,5.59,overcast clouds
69,Dunedin,NZ,2019-11-11 00:24:32,-45.87,170.5,48.99,82,100,18.99,light rain
70,Vaini,IN,2019-11-11 00:23:32,15.34,74.49,66.13,80,0,5.03,clear sky
71,Goderich,CA,2019-11-11 00:20:11,43.74,-81.71,37.99,85,100,4.25,overcast clouds
72,Mindelo,PT,2019-11-11 00:24:32,41.31,-8.72,57.0,100,90,4.7,light intensity drizzle
73,Nurobod,UZ,2019-11-11 00:24:33,40.91,69.8,33.8,55,90,2.24,mist
74,San%20Lawrenz,MT,2019-11-11 00:24:33,36.06,14.2,66.2,55,40,13.87,moderate rain
75,Hazorasp,UZ,2019-11-11 00:24:33,41.32,61.08,30.2,86,0,6.93,clear sky
76,Sioux%20Lookout,CA,2019-11-11 00:22:13,50.1,-91.92,6.8,65,75,11.41,broken clouds
77,Coquimbo,CL,2019-11-11 00:15:44,-29.95,-71.34,57.2,87,0,6.93,clear sky
78,Grafenau,DE,2019-11-11 00:24:34,48.86,13.39,35.01,85,0,1.99,clear sky
79,New%20Norfolk,AU,2019-11-11 00:23:28,-42.78,147.06,68.0,42,100,9.17,overcast clouds
80,Tasiilaq,GL,2019-11-11 00:19:53,65.61,-37.64,39.2,80,100,54.13,light rain
81,Avarua,CK,2019-11-11 00:23:37,-21.21,-159.78,75.2,78,0,9.17,light rain
82,Xam%20Nua,LA,2019-11-11 00:17:51,20.42,104.04,54.39,80,73,1.68,broken clouds
83,Sehithwa,BW,2019-11-11 00:24:35,-20.47,22.7,74.44,67,100,4.09,light rain
