City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Kapaa,US,80.6,22.08,-159.32,moderate rain,Courtyard by Marriott Kaua'i at Coconut Beach
3,Kudahuvadhoo,MV,82.17,2.67,72.89,overcast clouds,Orange Inn Maldives
5,Araouane,ML,76.3,18.9,-3.53,overcast clouds,
6,Katobu,ID,85.78,-4.94,122.53,scattered clouds,La Ode Gombe
8,Puerto%20Ayora,EC,75.2,-0.74,-90.35,broken clouds,Finch Bay Galapagos Hotel
11,Pasni,PK,72.25,25.26,63.48,overcast clouds,PHE Rest House
16,Nelson%20Bay,AU,77.0,-32.72,152.14,broken clouds,Mantra Nelson Bay
18,Itoman,JP,75.2,26.12,127.67,scattered clouds,DoubleTree by Hilton Hotel Naha
19,Umm%20Lajj,SA,78.64,25.02,37.27,overcast clouds,Tanal Hotel Apartment
20,Ridgecrest,US,78.8,35.62,-117.67,clear sky,SpringHill Suites by Marriott Ridgecrest
21,Karratha,AU,80.87,-20.74,116.85,clear sky,ibis Styles Karratha
25,Cabo%20San%20Lucas,MX,82.99,22.89,-109.91,broken clouds,Tesoro Los Cabos
26,Hilo,US,87.8,19.71,-155.08,few clouds,Hilo Seaside Hotel
30,Rikitea,PF,74.41,-23.12,-134.97,overcast clouds,Pension Maro'i
33,Ende,ID,81.18,-8.84,121.65,scattered clouds,Dwi Putra Hotel
34,Tiarei,PF,80.6,-17.53,-149.33,shower rain,Relais de la Maroto
37,Jamestown,AU,78.49,-33.21,138.6,clear sky,Jamestown Motel Terraces
38,Pouebo,NC,85.75,-20.4,164.57,broken clouds,
39,Ponta%20Do%20Sol,BR,70.9,-20.63,-46.0,overcast clouds,Cyrilo's Palace Hotel
43,Vikramasingapuram,IN,77.0,8.71,77.39,scattered clouds,Hotel Gowri Sankar A/C- Lodging Service/Banquet Halls/Ac Room/Ac Hall/Kalyana Mandapam
47,Juazeiro,BR,86.0,-9.43,-40.51,broken clouds,JB Hotel
49,Yulara,AU,84.2,-25.24,130.99,scattered clouds,Desert Gardens Hotel - Ayers Rock Resort
50,Road%20Town,VG,82.99,18.42,-64.62,scattered clouds,Wyndham Tortola BVI Lambert Beach Resort
56,Sao%20Joao%20Da%20Barra,BR,75.42,-21.64,-41.05,light rain,Pousada João Vitor e o Mar
60,Bluff,AU,84.58,-23.58,149.07,scattered clouds,Black Rock Inn
61,Cockburn%20Town,TC,82.74,21.46,-71.14,light rain,Osprey Beach Hotel
62,Kuzhithurai,IN,77.0,8.32,77.18,scattered clouds,"Estuary Sarovar Portico, Poovar Island"
65,Morondava,MG,73.62,-20.3,44.28,clear sky,La Case Bambou
67,Lethem,GY,86.59,3.38,-59.8,overcast clouds,Savannah Inn
68,Namatanai,PG,83.48,-3.66,152.44,overcast clouds,Namatanai Hotel
81,Avarua,CK,75.2,-21.21,-159.78,light rain,Little Polynesian Resort
83,Sehithwa,BW,74.44,-20.47,22.7,light rain,MONLEK GUEST HOUSE
84,Mocuba,MZ,74.05,-16.84,36.99,broken clouds,Phama Lodge
90,Meulaboh,ID,79.57,4.14,96.13,light rain,Kost Pria
92,Mariara,VE,74.8,10.28,-67.69,light rain,Hotel Caroní
94,Atuona,PF,79.99,-9.8,-139.03,clear sky,Villa Enata
99,Kavaratti,IN,80.85,10.57,72.64,broken clouds,Hotels in Lakshadweep Islands
106,Trinidad,BO,73.4,-14.83,-64.9,light rain,Hotel Piesta
110,Gigmoto,PH,81.37,13.78,124.39,light rain,Puraran Executive Suites
111,Mahebourg,MU,71.01,-20.41,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
114,Hithadhoo,MV,82.67,-0.6,73.08,overcast clouds,"Shangri-La's Villingili Resort & Spa, Maldives"
116,Tautira,PF,80.6,-17.73,-149.15,shower rain,Vanira Lodge
117,Constitucion,MX,77.0,23.99,-104.67,broken clouds,Holiday Inn Durango
120,Mercedes,UY,72.0,-33.25,-58.03,clear sky,Gran Hotel Brisas del Hum
121,Carlos%20Chagas,BR,71.83,-17.7,-40.76,broken clouds,Minas Hotel
125,Bontang,ID,80.31,0.12,117.47,light rain,"Guest House Badak LNG,Bontang,Kaliantan Timur"
126,Abu%20Dhabi,AE,71.6,24.47,54.37,clear sky,Emirates Palace
127,Tsiroanomandidy,MG,75.97,-18.77,46.05,scattered clouds,
128,Amahai,ID,81.0,-3.31,129.0,overcast clouds,Hotel isabella
130,Bambanglipuro,ID,79.29,-7.95,110.28,overcast clouds,HOTEL SENO
132,Port%20Augusta,AU,86.0,-32.49,137.76,clear sky,Majestic Oasis Apartments
136,Caravelas,BR,72.59,-17.73,-39.27,broken clouds,Pousada Dos Navegantes
142,Inhambane,MZ,75.36,-23.87,35.38,broken clouds,Lobster Chalets
147,Arraial%20Do%20Cabo,BR,77.0,-22.97,-42.02,broken clouds,Caribe Park Hotel
150,Lazaro%20Cardenas,MX,75.2,28.39,-105.62,scattered clouds,Hotel Paraíso Dorado
152,Thinadhoo,MV,82.29,0.53,72.93,light rain,Hotel Raffles Maldives Meradhoo Resort
154,Iralaya,HN,84.2,15.0,-83.23,haze,Hotel en remodelación
156,Cap%20Malheureux,MU,71.01,-19.98,57.61,scattered clouds,Trou aux Biches Beachcomber Golf Resort & Spa
157,Sola,TZ,70.5,-3.17,33.8,overcast clouds,Peace Hotel
160,Half%20Moon%20Bay,US,75.2,37.46,-122.43,clear sky,"The Ritz-Carlton, Half Moon Bay"
162,Awbari,LY,72.81,26.59,12.77,overcast clouds,فندق أوباري
