City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bathsheba,BB,2019-11-10 18:06:43,13.22,-59.52,87.8,66,40,19.46
1,Mataura,NZ,2019-11-10 18:06:43,-46.19,168.86,45.0,85,100,1.01
2,Busselton,AU,2019-11-10 18:06:43,-33.64,115.35,57.0,55,0,13.85
3,Iqaluit,CA,2019-11-10 18:06:44,63.75,-68.52,15.8,92,75,5.82
4,Longyearbyen,NO,2019-11-10 18:06:44,78.22,15.63,12.2,72,40,3.36
5,Hami,CN,2019-11-10 18:06:44,42.84,93.51,38.53,36,2,3.22
6,Tocopilla,CL,2019-11-10 18:06:44,-22.09,-70.2,77.11,17,100,12.06
7,Flin Flon,CA,2019-11-10 18:06:44,54.77,-101.88,-4.01,70,20,11.41
8,Souillac,FR,2019-11-10 18:06:45,45.6,-0.6,46.4,87,17,2.24
9,Hermanus,ZA,2019-11-10 18:06:45,-34.42,19.24,71.01,81,98,14.0
10,Bandarbeyla,SO,2019-11-10 18:06:45,9.49,50.81,79.93,73,0,15.32
11,Evanston,US,2019-11-10 18:06:45,42.04,-87.69,44.6,79,90,8.05
12,Ushuaia,AR,2019-11-10 18:02:27,-54.81,-68.31,55.4,54,0,4.7
13,Cabo San Lucas,MX,2019-11-10 18:01:54,22.89,-109.91,88.0,62,20,3.36
14,Provideniya,RU,2019-11-10 18:06:46,64.42,-173.23,31.37,98,100,9.53
15,Atuona,PF,2019-11-10 18:06:46,-9.8,-139.03,79.32,70,3,12.97
16,Galesong,ID,2019-11-10 18:02:28,-5.32,119.37,77.0,94,20,2.24
17,Toccoa,US,2019-11-10 18:06:46,34.58,-83.33,64.99,39,1,4.7
18,Barrow,AR,2019-11-10 18:06:47,-38.31,-60.23,73.45,46,100,14.45
19,Kangaatsiaq,GL,2019-11-10 18:06:47,68.31,-53.46,40.87,51,100,33.87
20,Jamestown,AU,2019-11-10 18:06:47,-33.21,138.6,56.44,29,0,8.5
21,Guarapari,BR,2019-11-10 18:06:47,-20.67,-40.5,86.0,58,30,20.8
22,Ayan,IR,2019-11-10 18:06:48,38.23,44.7,34.21,32,0,1.48
23,Bonavista,CA,2019-11-10 18:06:48,48.65,-53.11,39.99,61,100,5.01
24,Kapaa,US,2019-11-10 18:06:48,22.08,-159.32,75.2,73,90,4.7
25,Santa Teresa,BR,2019-11-10 18:06:49,-19.94,-40.6,86.0,58,15,20.8
26,Tiznit,MA,2019-11-10 18:06:49,29.7,-9.73,58.84,48,18,7.31
